Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
512,8,8,0,0,1.828314,0.005862,34.1135,136.36,151,102,62,69,0,146.821,1.077,1.721,64
512,16,16,0,0,1.149997,0.000801,31.062,123.66,139,90,55,69,0,233.423,1.888,2.735,256
512,32,32,0,0,0.886106,0.00048,33.9065,135.51,150,101,58,69,0,302.938,2.236,3.55,1024
512,16,32,0,0,1.125594,0.000744,35.504,141.54,156,107,47,69,0,238.483,1.685,2.795,512
512,32,16,0,0,0.841395,0.000356,35.274,141.74,156,107,66,69,0,319.036,2.251,3.739,512
1024,8,8,0,0,14.424173,0.013883,35.1415,141.51,155,106,48,69,0,148.881,1.052,0.872,64
1024,16,16,0,0,9.188454,0.009965,32.6035,130.95,144,95,69,69,0,233.715,1.785,1.369,256
1024,32,32,0,0,3.94887,0.004421,31.362,124.89,140,91,53,69,0,543.822,4.354,3.186,1024
1024,16,32,0,0,5.16736,0.009966,35.4125,142.68,156,107,52,69,0,415.586,2.913,2.435,512
1024,32,16,0,0,3.930675,0.054235,31.787,127.72,141,92,65,69,0,546.34,4.278,3.201,512
2048,8,8,0,0,61.676633,0.459667,33.6145,135.24,149,100,47,69,0,278.547,2.06,0.816,64
2048,16,16,0,0,39.784884,0.828283,33.071,132.6,147,98,61,69,0,431.819,3.257,1.265,256
2048,32,32,0,0,28.587104,1.734368,33.0555,132.94,146,97,52,69,0,600.966,4.521,1.761,1024
2048,16,32,0,0,36.408679,1.012687,34.924,139.97,154,105,51,69,0,471.862,3.371,1.382,512
2048,32,16,0,0,31.866541,1.86331,35.792,141.49,158,109,47,69,0,539.119,3.81,1.579,512
4096,8,8,0,0,585.838916,16.078278,36.1375,144.32,158,109,55,69,0,234.602,1.626,0.344,64
4096,16,16,0,0,327.98573,7.210469,34.8415,138.83,154,105,45,69,0,419.039,3.018,0.614,256
4096,32,32,0,0,237.244922,6.182147,34.9985,138.93,154,105,51,69,0,579.313,4.17,0.849,1024
4096,16,32,0,0,299.998016,3.329345,32.8685,130.87,146,97,67,69,0,458.133,3.501,0.671,512
4096,32,16,0,0,265.917316,8.108668,31.1375,125.5,139,90,60,69,0,516.848,4.118,0.757,512
6144,8,8,0,0,2449.908447,133.686408,31.354,125.61,140,91,53,69,0,189.336,1.507,0.185,64
6144,16,16,0,0,1179.396069,7.309552,31.2935,124.46,140,91,56,69,0,393.3,3.16,0.384,256
6144,32,32,0,0,851.240149,1.485373,32.824,131.13,146,97,53,69,0,544.918,4.156,0.532,1024
6144,16,32,0,0,1111.55918,4.916691,33.645,134.96,149,100,69,69,0,417.303,3.092,0.408,512
6144,32,16,0,0,982.984998,2.5727,35.862,144.46,158,109,65,69,0,471.886,3.267,0.461,512
8192,8,8,0,0,7620.171289,404.196124,34.811,138.75,154,105,68,69,0,144.29,1.04,0.106,64
8192,16,16,0,0,3100.212158,33.873541,34.377,136.79,152,103,57,69,0,354.657,2.593,0.26,256
8192,32,32,0,0,2123.754297,0.744704,35.7995,143.32,158,109,46,69,0,517.721,3.612,0.379,1024
8192,16,32,0,0,2720.873828,2.946681,34.643,138.48,153,104,46,69,0,404.102,2.918,0.296,512
8192,32,16,0,0,2418.035254,10.497427,32.5215,129.32,145,96,58,69,0,454.713,3.516,0.333,512
512,8,8,1,0,0.756538,0.021691,34.9095,140.08,154,105,55,69,0,354.821,2.533,4.158,64
512,16,16,1,0,0.477376,0.000544,33.83,137.19,150,101,69,69,0,562.315,4.099,6.59,256
512,32,32,1,0,0.349318,0.00056,35.8745,142.84,158,109,65,69,0,768.455,5.38,9.005,1024
512,16,32,1,0,0.44521,0.000753,33.1805,131.57,147,98,53,69,0,602.942,4.583,7.066,512
512,32,16,1,0,0.333645,0.001317,32.382,129.27,144,95,66,69,0,804.555,6.224,9.428,512
1024,8,8,1,0,5.564397,0.060787,33.6585,135.02,149,100,61,69,0,385.933,2.858,2.261,64
1024,16,16,1,0,3.974778,0.145343,35.4185,141.16,156,107,58,69,0,540.278,3.827,3.166,256
1024,32,32,1,0,3.06377,0.011436,32.149,126.74,143,94,46,69,0,700.929,5.53,4.107,1024
1024,16,32,1,0,3.746432,0.01947,30.977,123.86,139,90,65,69,0,573.208,4.628,3.359,512
1024,32,16,1,0,2.944109,0.080131,35.139,138.58,155,106,47,69,0,729.417,5.264,4.274,512
2048,8,8,1,0,73.929164,4.014603,31.7315,126.56,142,93,60,69,0,232.383,1.836,0.681,64
2048,16,16,1,0,46.977101,0.871016,33.091,132.31,146,97,60,69,0,365.707,2.764,1.071,256
2048,32,32,1,0,33.131482,2.421174,35.9105,143.75,158,109,57,69,0,518.536,3.607,1.519,1024
2048,16,32,1,0,42.096909,0.611238,32.3755,129.2,144,95,68,69,0,408.103,3.159,1.196,512
2048,32,16,1,0,37.351571,2.107055,33.37,134.25,148,99,49,69,0,459.95,3.426,1.348,512
4096,8,8,1,0,711.738391,23.968619,31.35,125.72,140,91,69,69,0,193.103,1.536,0.283,64
4096,16,16,1,0,381.572076,13.325207,33.133,132.98,147,98,53,69,0,360.191,2.709,0.528,256
4096,32,32,1,0,267.997528,10.891741,33.29,132.99,147,98,56,69,0,512.837,3.856,0.751,1024
4096,16,32,1,0,345.795679,10.334339,31.947,127.96,142,93,47,69,0,397.457,3.106,0.582,512
4096,32,16,1,0,305.325018,11.76342,32.768,130.78,145,96,56,69,0,450.14,3.442,0.659,512
6144,8,8,1,0,3002.662109,36.181347,35.414,140.69,156,107,54,69,0,154.482,1.098,0.151,64
6144,16,16,1,0,1301.859961,4.817252,35.2545,141.27,156,107,59,69,0,356.303,2.522,0.348,256
6144,32,32,1,0,907.752625,2.495911,32.0785,128.76,142,93,52,69,0,510.994,3.969,0.499,1024
6144,16,32,1,0,1183.460132,3.259534,35.6395,144.15,157,108,47,69,0,391.949,2.719,0.383,512
6144,32,16,1,0,1037.220825,0.756619,31.079,125.06,139,90,65,69,0,447.211,3.576,0.437,512
8192,8,8,1,0,7260.762402,134.058363,34.1455,136.24,151,102,45,69,0,151.432,1.112,0.111,64
8192,16,16,1,0,3121.890039,13.310558,34.1835,137.29,151,102,68,69,0,352.194,2.565,0.258,256
8192,32,32,1,0,2155.75293,1.668484,33.1315,131.49,147,98,45,69,0,510.036,3.879,0.374,1024
8192,16,32,1,0,2748.898779,4.842408,31.281,124.23,139,90,62,69,0,399.983,3.22,0.293,512
8192,32,16,1,0,2396.609912,3.330819,33.0115,133.22,146,97,45,69,0,458.778,3.444,0.336,512
512,8,8,2,0,0.484794,0.020446,32.938,132.01,146,97,64,69,0,553.711,4.194,6.489,64
512,16,16,2,0,0.316429,0.009948,34.214,137.18,152,103,59,69,0,848.328,6.184,9.941,256
512,32,32,2,0,0.284877,0.010376,32.5805,129.65,145,96,54,69,0,942.286,7.268,11.042,1024
512,16,32,2,0,0.170918,0.002013,32.11,128.7,143,94,55,69,0,1570.547,12.203,18.405,512
512,32,16,2,0,0.244154,0.002331,34.3345,137.69,152,103,45,69,0,1099.453,7.985,12.884,512
1024,8,8,2,0,3.553005,0.118728,32.6045,131.18,145,96,69,69,0,604.413,4.608,3.541,64
1024,16,16,2,0,2.333485,0.011879,34.6435,139.07,153,104,45,69,0,920.29,6.617,5.392,256
1024,32,32,2,0,2.161504,0.002622,34.6345,137.97,153,104,65,69,0,993.514,7.201,5.821,1024
1024,16,32,2,0,1.206125,0.001283,33.0795,132.67,147,98,54,69,0,1780.482,13.42,10.433,512
1024,32,16,2,0,1.915405,0.001595,32.4875,128.75,144,95,60,69,0,1121.164,8.708,6.569,512
2048,8,8,2,0,50.101766,3.582231,32.519,130.62,145,96,45,69,0,342.899,2.625,1.005,64
2048,16,16,2,0,29.057338,0.961598,31.074,123,139,90,63,69,0,591.24,4.807,1.732,256
2048,32,32,2,0,22.718976,1.242504,34.3625,136.09,152,103,64,69,0,756.19,5.557,2.215,1024
2048,16,32,2,0,14.882131,1.720046,32.94,132.07,146,97,69,69,0,1154.396,8.741,3.382,512
2048,32,16,2,0,21.999065,1.020386,34.3895,137.33,152,103,54,69,0,780.936,5.687,2.288,512
4096,8,8,2,0,422.049054,23.401685,34.023,137.36,151,102,67,69,0,325.647,2.371,0.477,64
4096,16,16,2,0,244.033081,19.06028,35.032,139.82,155,106,62,69,0,563.198,4.028,0.825,256
4096,32,32,2,0,175.014233,4.423748,34.7855,140.35,154,105,64,69,0,785.302,5.595,1.15,1024
4096,16,32,2,0,127.015396,15.891091,32.705,129.73,145,96,51,69,0,1082.065,8.341,1.585,512
4096,32,16,2,0,170.941241,6.402851,32.779,131.72,145,96,59,69,0,804.013,6.104,1.178,512
6144,8,8,2,0,1545.571143,15.945303,34.7205,138.4,154,105,67,69,0,300.12,2.168,0.293,64
6144,16,16,2,0,902.859399,1.633461,33.628,135.43,149,100,52,69,0,513.764,3.794,0.502,256
6144,32,32,2,0,611.74447,1.975845,31.0545,125.13,139,90,51,69,0,758.252,6.06,0.74,1024
6144,16,32,2,0,452.895044,20.444621,32.661,130.05,145,96,61,69,0,1024.203,7.875,1,512
6144,32,16,2,0,588.673169,5.10763,33.3515,133.57,148,99,67,69,0,787.969,5.899,0.77,512
8192,8,8,2,0,3767.362158,12.434301,33.563,135.01,149,100,63,69,0,291.852,2.162,0.214,64
8192,16,16,2,0,2144.536182,3.089211,32.91,130.26,146,97,53,69,0,512.704,3.936,0.376,256
8192,32,32,2,0,1423.816382,5.516449,35.1655,141.53,155,106,62,69,0,772.229,5.456,0.566,1024
8192,16,32,2,0,1071.557983,1.288866,35.4445,141.12,156,107,62,69,0,1026.087,7.271,0.752,512
8192,32,16,2,0,1390.840137,0.873167,31.8425,126.82,142,93,57,69,0,790.538,6.234,0.579,512
512,8,8,3,0,0.464947,0.01536,35.226,141.02,156,107,58,69,0,577.346,4.094,6.766,64
512,16,16,3,0,0.303558,0.010099,31.59,127.05,141,92,62,69,0,884.296,6.96,10.363,256
512,32,32,3,0,0.279744,0.009569,35.4195,141.16,156,107,61,69,0,959.575,6.798,11.245,1024
512,16,32,3,0,0.256883,0.000665,35.8315,143.53,157,108,59,69,0,1044.971,7.281,12.246,512
512,32,16,3,0,0.242707,0.000985,34.382,137.97,152,103,56,69,0,1106.005,8.016,12.961,512
1024,8,8,3,0,3.524602,0.154112,33.7455,135.97,149,100,53,69,0,609.284,4.481,3.57,64
1024,16,16,3,0,2.35929,0.024774,34.614,138.98,153,104,69,69,0,910.225,6.549,5.333,256
1024,32,32,3,0,2.199162,0.001765,34.9985,139.7,155,106,48,69,0,976.501,6.99,5.722,1024
1024,16,32,3,0,2.076717,0.002343,33.0535,133.39,147,98,65,69,0,1034.076,7.752,6.059,512
1024,32,16,3,0,1.905926,0.017098,32.0415,128.32,143,94,53,69,0,1126.74,8.781,6.602,512
2048,8,8,3,0,50.068948,2.716682,32.957,131.81,146,97,60,69,0,343.124,2.603,1.005,64
2048,16,16,3,0,30.743853,2.59766,33.3285,132.09,148,99,66,69,0,558.807,4.23,1.637,256
2048,32,32,3,0,23.005939,1.418006,32.228,128.65,143,94,50,69,0,746.758,5.805,2.188,1024
2048,16,32,3,0,21.336346,0.680594,31.213,125.95,139,90,55,69,0,805.193,6.393,2.359,512
2048,32,16,3,0,21.564269,1.692884,32.05,129.35,143,94,66,69,0,796.682,6.159,2.334,512
4096,8,8,3,0,428.66076,23.989911,32.638,130.5,145,96,46,69,0,320.624,2.457,0.47,64
4096,16,16,3,0,246.481772,15.465037,32.2815,130.22,144,95,55,69,0,557.603,4.282,0.817,256
4096,32,32,3,0,175.82493,5.778913,32.2725,128.42,144,95,46,69,0,781.681,6.087,1.145,1024
4096,16,32,3,0,162.910309,4.467991,32.88,131.42,146,97,61,69,0,843.648,6.419,1.236,512
4096,32,16,3,0,171.439322,6.325371,32.5385,130.88,144,95,66,69,0,801.677,6.125,1.174,512
6144,8,8,3,0,1547.892651,18.54397,31.942,126.67,143,94,48,69,0,299.67,2.366,0.293,64
6144,16,16,3,0,891.033728,1.080794,33.9415,135.86,150,101,63,69,0,520.582,3.832,0.508,256
6144,32,32,3,0,603.595898,5.186377,35.361,141.55,156,107,62,69,0,768.488,5.429,0.75,1024
6144,16,32,3,0,556.269055,4.597342,31.5855,126.18,141,92,65,69,0,833.871,6.609,0.814,512
6144,32,16,3,0,584.160168,3.141165,35.044,139.98,155,106,49,69,0,794.057,5.673,0.775,512
8192,8,8,3,0,3750.67251,7.253854,32.107,128.07,143,94,58,69,0,293.151,2.289,0.215,64
8192,16,16,3,0,2145.931104,2.418426,31.5525,125.5,140,91,54,69,0,512.37,4.083,0.375,256
8192,32,32,3,0,1431.47229,5.312945,35.406,141.73,156,107,62,69,0,768.098,5.419,0.563,1024
8192,16,32,3,0,1312.014819,3.728367,34.9435,140.52,154,105,52,69,0,838.033,5.964,0.614,512
8192,32,16,3,0,1388.290283,2.594313,34.4445,137.13,152,103,63,69,0,791.99,5.775,0.58,512
512,8,8,4,0,0.421158,0.019826,34.6825,138.81,153,104,68,69,0,637.374,4.592,7.469,64
512,16,16,4,0,0.381683,0.001684,34.6865,138.77,154,105,49,69,0,703.294,5.068,8.242,256
512,32,32,4,0,0.226861,0.000568,35.3515,141.42,156,107,61,69,0,1183.261,8.367,13.866,1024
512,16,32,4,0,0.216698,0.001404,31.595,127.16,141,92,50,69,0,1238.756,9.742,14.517,512
512,32,16,4,0,0.352186,0.001132,34.5335,138.12,153,104,45,69,0,762.199,5.518,8.932,512
1024,8,8,4,0,3.00665,0.001408,32.627,129.72,145,96,45,69,0,714.245,5.506,4.185,64
1024,16,16,4,0,2.996026,0.000592,33.9865,134.45,151,102,58,69,0,716.777,5.331,4.2,256
1024,32,32,4,0,1.824582,0.001702,34.924,139.7,154,105,55,69,0,1176.973,8.425,6.896,1024
1024,16,32,4,0,1.54855,0.023301,34.536,138.59,153,104,66,69,0,1386.77,10.006,8.126,512
1024,32,16,4,0,2.741888,0.009605,35.4525,142.73,156,107,63,69,0,783.213,5.487,4.589,512
2048,8,8,4,0,38.804128,5.671814,35.4755,140.8,156,107,63,69,0,442.733,3.144,1.297,64
2048,16,16,4,0,37.878483,1.576726,31.8865,126.47,142,93,50,69,0,453.552,3.586,1.329,256
2048,32,32,4,0,18.967379,0.887197,33.8955,136.44,150,101,66,69,0,905.759,6.639,2.654,1024
2048,16,32,4,0,18.854842,1.932301,33.1045,131.73,147,98,57,69,0,911.165,6.917,2.669,512
2048,32,16,4,0,31.326669,2.436857,33.1785,132.47,148,99,61,69,0,548.41,4.14,1.607,512
4096,8,8,4,0,292.273474,15.03068,32.5545,129.66,145,96,47,69,0,470.241,3.627,0.689,64
4096,16,16,4,0,297.235522,12.099128,33.7145,133.7,150,101,62,69,0,462.391,3.458,0.677,256
4096,32,32,4,0,147.24458,5.11233,32.447,129.16,144,95,65,69,0,933.406,7.227,1.367,1024
4096,16,32,4,0,151.127554,12.58285,33.606,134.83,149,100,47,69,0,909.424,6.745,1.332,512
4096,32,16,4,0,244.620343,7.733741,34.3935,136.07,152,103,63,69,0,561.846,4.129,0.823,512
6144,8,8,4,0,980.084863,2.171583,32.0505,127.89,143,94,61,69,0,473.282,3.701,0.462,64
6144,16,16,4,0,1020.361353,1.379304,31.2025,124.5,140,91,59,69,0,454.6,3.651,0.444,256
6144,32,32,4,0,507.438727,2.598951,34.3385,137.15,152,103,68,69,0,914.113,6.665,0.893,1024
6144,16,32,4,0,516.758923,8.797279,32.482,130.52,144,95,57,69,0,897.626,6.877,0.877,512
6144,32,16,4,0,844.260132,2.901917,31.0585,123.67,139,90,55,69,0,549.424,4.443,0.537,512
8192,8,8,4,0,2299.770752,6.431232,35.3515,141.37,156,107,50,69,0,478.096,3.382,0.35,64
8192,16,16,4,0,2454.226221,1.000419,32.4635,131.27,144,95,57,69,0,448.007,3.413,0.328,256
8192,32,32,4,0,1214.028979,2.629912,32.1775,130.14,143,94,45,69,0,905.672,6.959,0.663,1024
8192,16,32,4,0,1222.892554,2.07401,32.8655,132.19,146,97,58,69,0,899.107,6.802,0.659,512
8192,32,16,4,0,1995.530176,2.212529,34.2995,138.15,152,103,64,69,0,550.987,3.988,0.404,512
512,8,8,5,0,0.557274,0.020389,31.7325,126.96,141,92,47,69,0,481.694,3.794,5.645,64
512,16,16,5,0,0.380154,0.013656,33.449,133.42,148,99,58,69,0,706.124,5.292,8.275,256
512,32,32,5,0,0.358362,0.012891,35.102,142.13,155,106,46,69,0,749.063,5.27,8.778,1024
512,16,32,5,0,0.21015,0.000739,33.1835,132.24,147,98,54,69,0,1277.349,9.659,14.969,512
512,32,16,5,0,0.312051,0.000679,32.3605,129.92,145,96,54,69,0,860.229,6.621,10.081,512
1024,8,8,5,0,4.378426,0.101475,33.9025,136.2,150,101,54,69,0,490.469,3.601,2.874,64
1024,16,16,5,0,3.127066,0.07875,31.8435,128.35,142,93,61,69,0,686.741,5.351,4.024,256
1024,32,32,5,0,2.901197,0.068023,33.614,134.11,149,100,59,69,0,740.206,5.519,4.337,1024
1024,16,32,5,0,1.564026,0.021333,34.5945,139.22,153,104,49,69,0,1373.049,9.862,8.045,512
1024,32,16,5,0,2.45369,0.008343,32.6155,128.45,145,96,67,69,0,875.206,6.814,5.128,512
2048,8,8,5,0,59.479993,6.055596,32.479,129.08,144,95,55,69,0,288.834,2.238,0.846,64
2048,16,16,5,0,37.980947,1.765643,35.8785,143.52,158,109,63,69,0,452.329,3.152,1.325,256
2048,32,32,5,0,27.816416,0.857067,31.0365,123.46,139,90,63,69,0,617.616,5.003,1.809,1024
2048,16,32,5,0,18.523571,1.527386,33.688,135.39,149,100,60,69,0,927.46,6.85,2.717,512
2048,32,16,5,0,26.624211,1.201566,33.2725,132.18,147,98,65,69,0,645.272,4.882,1.89,512
4096,8,8,5,0,478.917743,22.313442,32.2065,128.94,143,94,61,69,0,286.978,2.226,0.42,64
4096,16,16,5,0,298.382568,12.453896,31.022,124.06,139,90,46,69,0,460.613,3.713,0.675,256
4096,32,32,5,0,220.868973,3.268449,32.102,128.6,143,94,63,69,0,622.265,4.839,0.912,1024
4096,16,32,5,0,152.870227,12.814812,35.183,139.84,155,106,50,69,0,899.056,6.429,1.317,512
4096,32,16,5,0,208.206384,4.177266,31.8805,127.54,142,93,53,69,0,660.109,5.176,0.967,512
6144,8,8,5,0,1696.177075,12.342528,31.431,124.2,140,91,57,69,0,273.472,2.202,0.267,64
6144,16,16,5,0,1033.522388,2.500316,33.057,132.39,147,98,55,69,0,448.811,3.39,0.438,256
6144,32,32,5,0,760.980298,4.027998,33.627,134.43,149,100,57,69,0,609.551,4.534,0.595,1024
6144,16,32,5,0,522.517627,9.122444,33.154,132.88,147,98,50,69,0,887.734,6.681,0.867,512
6144,32,16,5,0,712.787378,4.262524,34.4835,138.4,153,104,55,69,0,650.764,4.702,0.636,512
8192,8,8,5,0,3995.583203,9.994925,32.1775,129.8,143,94,52,69,0,275.182,2.12,0.202,64
8192,16,16,5,0,2447.524902,2.339893,34.0955,136.89,151,102,50,69,0,449.234,3.282,0.329,256
8192,32,32,5,0,1787.635645,2.721665,33.6875,134.38,149,100,46,69,0,615.065,4.577,0.45,1024
8192,16,32,5,0,1237.879346,2.059521,32.042,127.55,143,94,51,69,0,888.222,6.964,0.651,512
8192,32,16,5,0,1687.109814,1.505078,31.1225,124.76,139,90,69,69,0,651.713,5.224,0.477,512
